,M_B,M_V,M_I,M_J,M_H,M_K,name,logP,EBV,mod
0,-3.2993904207839257,-4.069988720783925,-4.826745280783925,-5.358355160783924,-5.7815693907839245,-5.813689050783925,AA Gem,1.053181,0.309,12.800918720783924
1,-2.7310773423281933,-2.337047742328192,-2.9832490223281916,-3.413870462328193,-3.777914702328193,-3.8043087823281923,AA Mon,0.595294,0.792,12.512887742328193
2,-3.118397994810268,-4.229038194810268,-5.571634834810268,-6.369003554810268,-6.919981174810268,-6.963509214810268,AA Ser,1.234041,1.046,13.088458194810269
3,-2.5527756107495065,-3.0715507107495075,-3.6685050307495075,-4.003927390749508,-4.321901700749507,-4.357256720749508,AD Gem,0.578408,0.173,12.367760710749508
4,-4.910153152570007,-5.767479752570006,-6.676608872570006,-7.185896632570006,-7.6191780925700066,-7.699443412570005,AQ Pup,1.478624,0.518,12.799339752570006
5,-2.914628070267897,-3.5357453702678967,-4.305022730267896,-4.666981010267896,-4.980539140267896,-5.007562600267896,AS Per,0.696531,0.679,11.061575370267896
6,-3.413871816443896,-3.9902361164438958,-4.648083876443895,-5.030971356443896,-5.333650186443895,-5.350723046443896,AW Per,0.810474,0.489,9.877766116443896
7,-2.9558398489063284,-3.6584745489063284,-4.4206835889063285,-4.856872508906329,-5.216125578906328,-5.288852518906329,BB Sgr,0.821971,0.281,9.690844548906329
8,-2.4810564034769564,-3.108750903476956,-3.7822033034769555,-4.207343503476956,-4.539088953476956,-4.599027853476955,BF Oph,0.609329,0.235,9.686700903476956
9,-2.710037305437668,-3.3616473054376685,-4.078799305437669,-4.444595305437669,-4.791036305437668,-4.8459583054376685,BG Lac,0.726883,0.3,11.273647305437668
10,-3.3009299346077086,-3.9423774346077067,-4.612259434607707,-5.040470434607708,-5.390095184607707,-5.417984684607707,BK Aur,0.903222,0.425,12.026627434607708
11,-3.4437177171771314,-4.214176917177133,-5.017454357177131,-5.518851477177131,-5.919702997177132,-5.991394837177131,BN Pup,1.135867,0.416,12.752496917177131
12,-3.535914549046243,-4.2657640490462425,-5.042212449046243,-5.576910649046242,-5.990611599046242,-6.044381499046242,BZ Cyg,1.006127,0.885,11.628214049046242
13,-4.045565933950428,-4.820925033950429,-5.696708153950429,-6.17851291395043,-6.57475762395043,-6.64602944395043,CD Cyg,1.232334,0.493,12.17653503395043
14,-2.7699818951347357,-3.6019977951347357,-4.440514675134735,-4.947859915134735,-5.354452705134735,-5.370855885134735,CK Sct,0.870124,0.757,11.731887795134735
15,-3.5008412077664683,-4.496997507766469,-5.479259667766469,-6.1328383477664685,-6.631152377766469,-6.690183637766468,CP Cep,1.251989,0.649,12.977727507766469
16,-2.810027073279885,-3.493105373279885,-4.321397933279885,-4.772735813279885,-5.174538043279885,-5.195553703279884,CR Cep,0.794695,0.709,10.858035373279884
17,-3.2465050298024654,-3.8481582298024666,-4.4944164698024665,-4.868991989802466,-5.1975549098024665,-5.205085549802466,CR Ser,0.724391,1.036,11.354878229802466
18,-3.2849857851218456,-4.031400785121846,-4.833628785121846,-5.254322785121846,-5.651984285121847,-5.681867285121846,DD Cas,0.991759,0.45,12.456900785121846
19,-2.7539923120583802,-3.2529403120583797,-3.79829391205838,-4.18246671205838,-4.43812551205838,-4.47511511205838,DT Cyg,0.397804,0.04,8.89774031205838
20,-3.031087158165997,-3.521235658165997,-4.212900858165997,-4.503355458165997,-4.761518308165996,-4.773348008165997,EV Sct,0.490098,0.655,11.549585658165997
21,-3.2986120119625344,-3.857357211962534,-4.481189851962535,-4.861136571962534,-5.134864691962535,-5.182613731962535,FF Aql,0.65039,0.196,8.597277211962535
22,-2.9827476882773443,-3.668981988277344,-4.476213748277344,-4.798033228277344,-5.145859058277344,-5.187905918277344,FM Aql,0.786342,0.589,10.036511988277343
23,-3.0050200604191293,-3.6705975604191288,-4.4090955604191295,-4.8323745604191295,-5.192852310419129,-5.235767810419129,FM Cas,0.764123,0.325,11.74884756041913
24,-3.2295040596942233,-3.9468722596942243,-4.773518499694224,-5.174468019694224,-5.555222439694224,-5.596896079694224,FN Aql,0.976878,0.486,10.766092259694224
25,-3.5533411840507316,-4.185522184050731,-4.853841384050732,-5.284812984050731,-5.615939084050731,-5.650775284050732,GH Cyg,0.893092,0.63,12.046622184050731
26,-2.9980273579277767,-3.857576257927777,-4.691218737927777,-5.209042777927777,-5.616632867927777,-5.694142647927777,GH Lup,0.967448,0.347,10.373766257927777
27,-5.742833238140632,-6.710130238140631,-7.714460638140631,-8.154369838140632,-8.51869553814063,-8.549354938140631,GY Sge,1.708102,1.31,12.641830238140631
28,-5.093634529086579,-5.913606229086579,-6.772073669086578,-7.4437157890865775,-7.921118559086578,-8.028712899086578,KN Cen,1.531857,0.791,13.214676229086578
29,-3.7520645012175233,-4.818934801217523,-5.870641761217524,-6.616670841217523,-7.112108271217523,-7.209082331217523,KQ Sco,1.457818,0.869,11.822064801217524
30,-3.8443599578732854,-4.6187593578732855,-5.407793437873286,-5.916239277873286,-6.326598417873286,-6.399078297873286,LS Pup,1.150646,0.462,13.574499357873286
31,-3.292325158691934,-4.014499658691932,-4.819488058691933,-5.246356258691932,-5.608689708691933,-5.649524608691932,MW Cyg,0.774852,0.635,11.446449658691932
32,-3.0442884929420284,-3.6679465929420285,-4.338946512942028,-4.7995076729420285,-5.108214282942029,-5.169545902942029,QZ Nor,0.578244,0.263,11.687456592942029
33,-3.576920396648923,-4.168505696648921,-4.790600656648922,-5.223003736648923,-5.547632666648923,-5.575749726648922,RR Lac,0.807281,0.319,11.980135696648922
34,-3.197546135929036,-3.842463235929035,-4.514751955929035,-4.997525515929035,-5.355870025929035,-5.3860534459290355,RS Cas,0.799056,0.833,11.095873235929036
35,-4.712075402664436,-5.686481302664436,-6.628846182664436,-7.2113954226644355,-7.6605472126644365,-7.749028392664436,RS Pup,1.61742,0.457,11.220371302664436
36,-2.9164355312372763,-3.450358831237277,-4.051655391237276,-4.456435271237277,-4.748282001237277,-4.788466661237276,RT Aur,0.571489,0.059,8.702788831237276
37,-4.312293683347076,-5.039109383347075,-6.001637623347075,-6.665798143347075,-6.8011773133470745,-6.861740453347076,RU Sct,1.29448,0.911,11.583579383347075
38,-3.3752172175863695,-4.104394317586371,-4.9319150375863705,-5.397824597586371,-5.80987510758637,-5.83511052758637,RW Cam,1.215224,0.633,10.73080431758637
39,-3.7233644124459637,-4.571870412445962,-5.452729612445963,-6.001871212445963,-6.432629812445963,-6.486531012445964,RW Cas,1.170032,0.38,12.577470412445964
40,-3.5232963556366883,-4.2219544556366895,-4.967954375636689,-5.470515535636689,-5.840222145636688,-5.8735537656366885,RX Aur,1.065337,0.263,11.041464455636689
41,-4.358990316002377,-5.045298716002376,-5.817701596002377,-6.2316998360023765,-6.5829618760023765,-6.601423556002376,RX Cam,0.898288,0.532,10.995938716002376
42,-2.5384133778241473,-3.1441026778241454,-3.830490437824147,-4.2505479178241465,-4.574859247824146,-4.635997107824147,RY CMa,0.670099,0.239,10.480132677824146
43,-3.7002121969747925,-4.452408796974794,-5.216921916974792,-5.814141676974793,-6.216570136974792,-6.270809456974792,RY Cas,1.084181,0.618,12.406268796974793
44,-4.262888167347077,-4.987954767347076,-5.841851887347077,-6.365003647347077,-6.741579107347077,-6.8197924273470765,RY Sco,1.307927,0.718,10.686814767347077
45,-4.74809240039486,-5.575383900394859,-6.422326700394859,-7.000056100394859,-7.381657250394859,-7.467515550394859,RY Vel,1.449158,0.545,12.18603390039486
46,-2.4221539840752087,-2.978578084075208,-3.6466692040752093,-4.034507964075209,-4.327679174075209,-4.388963994075208,RZ CMa,0.628882,0.443,11.245688084075208
47,-4.345596209932516,-4.830864309932517,-5.462016229932516,-5.846373389932516,-6.183520999932517,-6.224774619932517,RZ Gem,0.742669,0.563,13.018374309932517
48,-3.979282305769914,-4.804892305769914,-5.648044305769914,-6.229840305769914,-6.641281305769914,-6.733203305769914,RZ Vel,1.309564,0.3,10.925892305769914
49,-3.2845131734230293,-3.97133117342303,-4.74206877342303,-5.23417357342303,-5.609979373423029,-5.691942973423029,S Mus,0.98498,0.14,9.65513117342303
50,-2.8823275480196733,-3.590198848019674,-4.3068490080196735,-4.753801688019673,-5.099307218019674,-5.160481478019674,S Sge,0.923352,0.099,8.887428848019674
51,-5.916882628627745,-7.017859528627744,-8.041391608627745,-8.643116448627744,-9.064953338627745,-9.139348718627744,S Vul,1.837426,0.787,13.436849528627745
52,-2.439837831612376,-3.061415331612375,-3.7729133316123757,-4.155192331612375,-4.482670081612375,-4.5095855816123755,SS Sct,0.564814,0.325,10.229665331612376
53,-2.7629940904821684,-3.241515690482169,-3.8565688104821687,-4.266958570482169,-4.589019530482169,-4.625323850482169,ST Tau,0.605768,0.368,10.271875690482169
54,-2.7427156390134453,-3.185378939013445,-3.7344434990134445,-4.034087379013444,-4.266228109013444,-4.289360769013445,SU Cas,0.289884,0.259,8.319808939013445
55,-2.8980664698955403,-3.36893906989554,-3.9348553898955405,-4.327828749895541,-4.608692809895541,-4.652067329895541,SU Cyg,0.584952,0.098,9.93839906989554
56,-3.4976653901850216,-4.3173611901850215,-5.144079750185022,-5.693240630185022,-6.128344610185022,-6.181483770185022,SV Mon,1.182801,0.234,11.817541190185022
57,-5.6430198653479895,-6.280489465347989,-7.006896185347989,-7.433458745347989,-7.823178505347988,-7.859472425347989,SV Per,1.046469,0.408,13.939649465347989
58,-2.9660641643393646,-3.6034570643393646,-4.328160344339364,-4.738502784339365,-5.089069274339364,-5.118547854339364,SW Cas,0.735675,0.467,11.798047064339364
59,-4.139603413641173,-4.948156213641173,-5.796597173641174,-6.3584832536411735,-6.776148933641174,-6.866259493641174,SW Vel,1.370016,0.344,11.965036213641174
60,-3.583764063171248,-4.171202463171248,-4.8512213431712485,-5.245287583171248,-5.574402623171248,-5.606890303171248,SY Aur,1.006262,0.432,11.845842463171248
61,-2.9971258409540606,-3.5315512409540606,-4.09290852095406,-4.484767960954061,-4.78729770095406,-4.8037827809540605,SY Cas,0.609712,0.442,11.97689124095406
62,-3.7721093064888684,-4.636415106488868,-5.576285666488868,-6.094242546488868,-6.510787526488867,-6.590848686488868,SZ Aql,1.234029,0.534,11.545595106488868
63,-3.3940331075388084,-4.300290807538808,-5.254313447538809,-5.7915051675388085,-6.260784537538808,-6.332436077538809,SZ Cyg,1.179252,0.571,11.887960807538809
64,-2.895547001093135,-3.4391635010931356,-4.074646301093136,-4.463545701093135,-4.770779351093136,-4.811702651093135,SZ Tau,0.498166,0.295,9.012313501093136
65,-4.178773410831981,-5.178540710831982,-6.099898070831982,-6.7141963508319815,-7.181019480831981,-7.272172940831982,T Mon,1.431915,0.179,10.728370710831982
66,-2.4316001460308945,-3.0542244460308954,-3.7613042060308963,-4.200327686030896,-4.553712516030896,-4.622837376030896,T Vel,0.666501,0.289,10.152754446030896
67,-2.723875216974929,-3.300797216974929,-3.923827616974928,-4.315586816974928,-4.625075016974929,-4.6780594169749286,T Vul,0.646934,0.06,8.859997216974929
68,-3.4844433792452314,-4.346877879245231,-5.256098279245231,-5.718102479245231,-6.130141929245232,-6.196028829245231,TT Aql,1.138459,0.435,10.079827879245231
69,-3.0746896158659194,-3.71526191586592,-4.4436952758659185,-4.866891555865919,-5.23393518586592,-5.27404964586592,TW CMa,0.844792,0.329,12.21659191586592
70,-3.9126491241656183,-4.655180124165617,-5.485419324165618,-6.098050924165618,-6.517912024165618,-6.556618224165618,TX Cyg,1.167607,1.13,10.494280124165618
71,-3.994358807671887,-4.717104307671887,-5.488259907671888,-5.973303707671887,-6.344322257671887,-6.360071357671887,TY Sct,1.043507,0.965,12.418154307671887
72,-3.1913337110623132,-3.4337877110623136,-4.230000511062313,-4.718314911062313,-5.112732311062312,-5.178623111062313,TZ Mon,0.870882,0.42,12.873187711062313
73,-2.8555495251247276,-3.5210815251247274,-4.255263925124727,-4.670819125124727,-5.009748325124727,-5.055654725124727,U Aql,0.846591,0.36,8.807281525124727
74,-4.927272100698958,-5.840930200698959,-6.742930120698958,-7.338491280698959,-7.7671978906989585,-7.862529510698959,U Car,1.58897,0.263,11.283440200698958
75,-3.90281194800189,-4.63869784800189,-5.4485987280018895,-5.99487596800189,-6.38161575800189,-6.45599293800189,U Nor,1.101875,0.857,11.11758784800189
76,-3.5970433286291907,-4.287259428629191,-5.106764948629192,-5.402294908629191,-5.718101318629191,-5.739344538629192,U Vul,0.902584,0.603,9.464569428629192
77,-3.447067762252992,-4.1845425622529895,-4.98101392225299,-5.526659202252991,-5.920813082252991,-6.00090804225299,UU Mus,1.065819,0.404,12.67362256225299
78,-3.9857483895029784,-4.84142238950298,-5.61293918950298,-6.22184558950298,-6.644144989502979,-6.6518797895029795,UZ Sct,1.168739,1.02,12.79382238950298
79,-2.9690582362161635,-3.669842436216163,-4.406659876216163,-4.852226996216163,-5.211711016216164,-5.281467856216164,V Car,0.82586,0.166,10.501662436216163
80,-2.821667043864628,-3.3982848438646283,-4.064033803864628,-4.486953883864628,-4.826546063864629,-4.886669623864628,V Cen,0.739882,0.294,9.282664843864628
81,-3.2264807475694255,-3.786045247569427,-4.416881647569427,-4.819953847569426,-5.149846297569426,-5.1667591975694265,V Lac,0.697493,0.335,11.624995247569426
82,-2.7066976322572165,-3.4046043322572155,-4.224763772257216,-4.626371892257216,-4.997848162257216,-5.051429502257217,V0386 Cyg,0.720788,0.841,10.315174332257216
83,-2.8219895145477665,-3.460481214547766,-4.163412654547765,-4.538326774547766,-4.883141544547766,-4.915839884547766,V0402 Cyg,0.639968,0.391,12.064551214547766
84,-3.924576156953848,-4.588966756953848,-5.325460676953849,-5.7798588369538475,-6.175998696953847,-6.220076816953848,V0438 Cyg,1.049647,1.238,11.533226756953848
85,-3.298988205417352,-4.002039205417351,-4.841742405417353,-5.2186460054173525,-5.598919105417352,-5.622729305417353,V0459 Cyg,0.860413,0.73,12.245139205417352
86,-3.643064685307575,-3.991747485307574,-4.5808044453075745,-4.9707585253075734,-5.282277205307574,-5.304413765307574,V0465 Mon,0.433514,0.244,13.575627485307574
87,-3.875054518372071,-4.523783118372069,-5.20947863837207,-5.6722535983720705,-6.01261125837207,-6.04475697837207,V0495 Cyg,0.827263,0.978,11.98284311837207
88,-2.872127475897134,-3.121728375897135,-3.774017255897135,-4.202668495897134,-4.534599785897134,-4.555119965897136,V0508 Mon,0.616329,0.307,12.630118375897135
89,-3.4085029691527975,-4.100465569152797,-4.927069889152797,-5.2375672491527965,-5.575460309152796,-5.593652829152796,V0600 Aql,0.859672,0.798,11.558925569152796
90,-4.654534490148092,-5.347118790148091,-5.863270550148091,-6.161750030148092,-6.490310860148091,-6.458227720148091,V0916 Aql,1.128449,1.089,12.620648790148092
91,-2.6659855483051897,-3.35873204830519,-4.05583084830519,-4.481798248305189,-4.824884898305189,-4.878834198305189,V1162 Aql,0.730464,0.195,10.51788204830519
92,-3.033147114399549,-3.8514373143995497,-4.61511395439955,-5.089822674399549,-5.444065294399549,-5.4737233343995495,V1344 Aql,0.873787,0.546,9.85385731439955
93,-3.4369318039684353,-4.045543103968435,-4.724961263968435,-5.1237779439684354,-5.471577473968436,-5.5036997339684355,V350 Sgr,0.712165,0.299,10.553773103968435
94,-3.379925520452579,-4.278354820452581,-5.20051058045258,-5.86843206045258,-6.351037390452579,-6.45812325045258,VW Cen,1.177138,0.439,13.10838482045258
95,-4.118525312312215,-5.071546412312216,-6.019127932312216,-6.595555892312215,-7.058582802312215,-7.085787022312215,VX Cyg,1.303917,0.753,12.701356412312215
96,-3.7116499482434886,-4.42903244824349,-5.20760644824349,-5.661783448243488,-6.034481698243489,-6.078358198243489,VX Per,1.036883,0.475,12.19378244824349
97,-3.6634526847060007,-4.600138084706,-5.476727364706,-6.046722804706,-6.477958544706,-6.568495624706,VY Car,1.276818,0.242,11.281478084706
98,-3.43862812575688,-4.071840325756878,-4.807547365756879,-5.166015285756879,-5.502746105756879,-5.533388545756879,VY Cyg,0.895256,0.606,11.69646032575688
99,-2.7065508681476373,-3.3202050681476383,-4.006406508147638,-4.384905628147637,-4.700536648147637,-4.760267488147637,VZ Cyg,0.687034,0.266,11.417025068147638
100,-4.611851272439575,-5.315259772439573,-6.068156972439574,-6.535747572439574,-6.915616422439573,-6.9844981224395735,VZ Pup,1.364945,0.455,13.479609772439574
101,-3.2722666913779035,-3.931935191377903,-4.658064391377904,-5.094790991377904,-5.444365841377904,-5.4632995413779035,W Gem,0.898368,0.255,10.058285191377903
102,-3.1624590301307878,-3.805318630130788,-4.477573350130788,-4.9193399101307875,-5.2506186701307875,-5.322990590130788,W Sgr,0.880529,0.108,8.128478630130788
103,-2.606128220112481,-3.127341720112483,-3.7343149201124817,-4.189803520112482,-4.529892870112482,-4.523735570112484,WW Mon,0.66858,0.605,13.683191720112482
104,-3.9829933604814087,-4.771509760481409,-5.603498240481409,-6.177805280481408,-6.597432120481408,-6.688935400481409,WZ Car,1.361977,0.372,12.835949760481409
105,-3.618380133689344,-4.576814633689344,-5.5590350336893435,-6.208039233689344,-6.691078683689343,-6.800965583689344,WZ Sgr,1.339443,0.435,11.201764633689343
106,-3.6962333096225155,-4.623936909622516,-5.489252429622516,-6.008537389622515,-6.433792549622515,-6.514133269622516,X Cyg,1.214482,0.228,10.264496909622515
107,-3.6327069973300254,-4.197270197330025,-4.859840437330024,-5.225891957330025,-5.556425877330025,-5.6001385173300235,X Lac,0.735997,0.336,11.516990197330024
108,-2.4750995534496845,-3.012333853449684,-3.657565613449685,-4.197385093449684,-4.514210923449685,-4.521257783449685,X Sct,0.62305,0.589,11.120863853449684
109,-3.632625878039791,-4.345273578039792,-5.085144218039792,-5.553539938039792,-5.917378308039791,-5.986107848039792,XX Cen,1.039548,0.271,11.288943578039792
110,-3.0498743554535928,-3.639197055453594,-4.366527695453593,-4.807753415453593,-5.155959285453593,-5.188623825453594,XX Sgr,0.807815,0.521,10.812367055453594
111,-3.1197902880951602,-3.7180973880951615,-4.26023410809516,-4.62021166809516,-4.92611517809516,-4.94237659809516,XY Cas,0.653376,0.533,11.94950738809516
112,-2.550587000096053,-3.0730995000960526,-3.641289500096054,-4.086534500096053,-4.411085750096054,-4.452988250096054,Y Aur,0.586529,0.375,11.475849500096054
113,-2.9851791683113724,-3.4978970683113726,-4.090140348311373,-4.439652788311372,-4.751851778311373,-4.799395358311373,Y Lac,0.635863,0.217,11.940987068311372
114,-4.613393123284091,-5.33055202328409,-6.153346503284091,-6.57996654328409,-6.915997633284091,-6.973429413284091,Y Oph,1.233609,0.647,9.40674202328409
115,-3.432390952572062,-4.236406852572063,-5.068923732572063,-5.559268972572063,-5.969861762572063,-6.023264942572063,Y Sct,1.014575,0.757,11.423296852572063
116,-2.720432623142786,-3.384188223142785,-4.092150143142786,-4.566262303142786,-4.927858663142786,-4.980209783142785,Y Sgr,0.761428,0.188,8.519948223142785
117,-3.235898922115892,-3.9755336221158917,-4.756742662115891,-5.211931582115891,-5.580184652115891,-5.623911592115892,YZ Sgr,0.980171,0.281,10.418903622115891
118,-3.612736292259777,-4.342255292259777,-5.139776092259777,-5.564124492259777,-5.9504683922597765,-6.010372192259777,Z Lac,1.036854,0.37,11.561155292259777
119,-3.6340584168654253,-4.476418816865424,-5.390468096865425,-5.888293536865425,-6.288896776865425,-6.3453688568654245,Z Sct,1.110645,0.492,12.479258816865425
120,-3.3335836549250226,-4.084517354925023,-4.815943194925023,-5.272888514925022,-5.663603484925023,-5.723390224925023,bet Dor,0.993131,0.051,7.6627873549250225
121,-2.948882208483152,-3.5267847084831514,-4.181822708483152,-4.566271708483152,-4.895381958483151,-4.947362458483152,del Cep,0.729678,0.075,7.243534708483152
122,-3.030426456128115,-3.6862587561281153,-4.408924116128116,-4.835256396128115,-5.1830060261281155,-5.238172486128115,eta Aql,0.85593,0.129,7.173588756128115
123,-4.118408247130857,-5.252218447130858,-6.2393590871308575,-6.881339807130857,-7.382994427130857,-7.472756467130857,l Car,1.550816,0.146,8.509638447130857
124,-3.4493131429304995,-3.9620050429304996,-4.5679251229305,-4.9650239629305,-5.2780523529305,-5.327590732930499,x Sgr,0.845893,0.237,7.7574950429305
